letter,octave,velocity,time_on,time_off,duration,note_number
B,4,127,12720,12834,114,59
G,4,127,12840,12961,121,55
F#,4,127,13320,13429,109,54
G,4,127,13451,13567,116,55
B,4,127,13680,13794,114,59
G,4,127,13802,13947,145,55
D,5,127,14400,14525,125,62
C#,5,127,14520,14667,147,61
G,4,127,14640,14763,123,55
A,4,127,14760,14855,95,57
A,3,127,15000,15100,100,45
A,3,127,15120,15238,118,45
D,5,127,15360,15484,124,62
C#,5,127,15480,15612,132,61
G,4,127,15600,15713,113,55
A,4,127,15720,15837,117,57
A,3,127,15960,16064,104,45
A,3,127,16080,16189,109,45
D,5,127,16320,16448,128,62
C#,5,127,16440,16567,127,61
G,4,127,16560,16664,104,55
A,4,127,16680,16798,118,57
A,3,127,16920,17015,95,45
A,3,127,17040,17167,127,45
D,5,127,17280,17415,135,62
C#,5,127,17400,17536,136,61
G,4,127,17520,17623,103,55
A,4,127,17640,17746,106,57
A,3,127,17880,17954,74,45
A,3,127,18000,18121,121,45
F#,4,127,18120,18226,106,54
G,4,127,18240,18357,117,55
B,4,127,18480,18594,114,59
G,4,127,18600,18721,121,55
F#,4,127,19080,19189,109,54
G,4,127,19211,19327,116,55
B,4,127,19440,19554,114,59
G,4,127,19562,19707,145,55
D,5,127,20160,20285,125,62
C#,5,127,20280,20427,147,61
G,4,127,20400,20523,123,55
A,4,127,20520,20615,95,57
A,3,127,20760,20860,100,45
A,3,127,20880,20998,118,45
D,5,127,21120,21244,124,62
C#,5,127,21240,21372,132,61
G,4,127,21360,21473,113,55
A,4,127,21480,21597,117,57
A,3,127,21720,21824,104,45
A,3,127,21840,21949,109,45
D,5,127,22080,22208,128,62
C#,5,127,22200,22327,127,61
G,4,127,22320,22424,104,55
A,4,127,22440,22558,118,57
A,3,127,22680,22775,95,45
A,3,127,22800,22927,127,45
D,5,127,23040,23175,135,62
C#,5,127,23160,23296,136,61
G,4,127,23280,23383,103,55
A,4,127,23400,23506,106,57
A,3,127,23640,23714,74,45
A,3,127,23760,23881,121,45
F#,4,127,23880,23986,106,54
G,4,127,24000,24117,117,55
B,4,127,24240,24354,114,59
G,4,127,24360,24481,121,55
F#,4,127,24840,24949,109,54
G,4,127,24971,25087,116,55
B,4,127,25200,25314,114,59
G,4,127,25322,25467,145,55
D,5,127,33600,33725,125,62
C#,5,127,33720,33867,147,61
G,4,127,33840,33963,123,55
A,4,127,33960,34055,95,57
A,3,127,34200,34300,100,45
